customer_id,order_id,customer_age,age_group,customer_region,customer_tenure_months,tenure_group,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,had_delivery_delay,delivery_delay_ratio,freight_value,freight_exceeds_order_value,delivery_attempts,customer_service_contacts,had_customer_service_contact,resolution_time_days,complaints_count,had_complaint,repeat_purchase_30d,csat_internal_score,nps_score,nps_category
60,50060,61,55 a 64 anos,Nordeste,21,13 a 24 meses,1014.41,4,16.82,11,11,5,1,0.45454545454545453,31.57,0,2,1,1,1,3,1,0,3.3,4.4,Detrator
61,50061,45,45 a 54 anos,Centro-Oeste,116,Mais de 72 meses,182.12,6,0.19,5,8,2,1,0.25,45.9,0,2,3,1,0,5,1,0,4.2,2.1,Detrator
63,50063,48,45 a 54 anos,Norte,9,Até 12 meses,785.3,6,3.17,10,12,1,1,0.08333333333333333,39.0,0,2,1,1,8,6,1,0,2.3,3.8,Detrator
64,50064,24,Até 24 anos,Norte,83,Mais de 72 meses,332.99,1,8.77,8,12,1,1,0.08333333333333333,47.3,0,2,1,1,10,2,1,0,1.9,7.9,Neutro
65,50065,63,55 a 64 anos,Norte,64,49 a 72 meses,522.84,2,76.14,3,3,3,1,1.0,19.72,0,1,3,1,7,6,1,0,0.0,3.2,Detrator
66,50066,69,65 anos ou mais,Nordeste,53,49 a 72 meses,198.64,2,24.32,5,3,3,1,1.0,57.25,0,2,3,1,5,8,1,0,0.2,3.9,Detrator
67,50067,44,35 a 44 anos,Norte,100,Mais de 72 meses,335.96,4,12.24,1,7,2,1,0.2857142857142857,37.07,0,3,2,1,9,5,1,0,0.6,5.4,Detrator
68,50068,34,25 a 34 anos,Nordeste,109,Mais de 72 meses,745.08,5,73.34,9,5,4,1,0.8,29.76,0,3,4,1,3,7,1,0,0.0,2.7,Detrator
69,50069,24,Até 24 anos,Sul,45,25 a 48 meses,1402.67,1,43.56,9,8,4,1,0.5,51.51,0,2,5,1,3,9,1,0,0.0,0.0,Detrator
70,50070,32,25 a 34 anos,Nordeste,82,Mais de 72 meses,639.53,4,66.26,3,3,2,1,0.6666666666666666,35.79,0,3,3,1,11,8,1,0,0.0,0.0,Detrator
71,50071,57,55 a 64 anos,Sudeste,95,Mais de 72 meses,383.08,1,1.36,5,2,1,1,0.5,31.84,0,1,0,0,5,2,1,0,6.2,7.0,Neutro
73,50073,25,25 a 34 anos,Sul,81,Mais de 72 meses,816.27,1,73.96,1,8,1,1,0.125,58.35,0,1,1,1,4,4,1,0,5.0,2.4,Detrator
74,50074,19,Até 24 anos,Centro-Oeste,25,25 a 48 meses,66.18,4,4.5,4,7,2,1,0.2857142857142857,46.54,0,2,1,1,10,3,1,0,0.5,2.7,Detrator
75,50075,61,55 a 64 anos,Sudeste,24,13 a 24 meses,463.79,3,2.08,5,10,1,1,0.1,35.79,0,3,2,1,8,6,1,0,1.3,6.8,Detrator
76,50076,55,55 a 64 anos,Nordeste,113,Mais de 72 meses,261.42,4,28.92,3,9,1,1,0.1111111111111111,16.29,0,3,1,1,10,3,1,1,2.0,9.6,Promotor
77,50077,43,35 a 44 anos,Sul,80,Mais de 72 meses,815.51,3,33.42,6,8,3,1,0.375,38.22,0,1,1,1,2,3,1,0,3.4,2.1,Detrator
78,50078,68,65 anos ou mais,Centro-Oeste,42,25 a 48 meses,223.52,4,3.91,6,8,2,1,0.25,37.53,0,1,2,1,8,5,1,0,2.3,2.6,Detrator
79,50079,38,35 a 44 anos,Sudeste,26,25 a 48 meses,323.22,6,48.95,9,13,0,0,0.0,22.17,0,2,1,1,6,1,1,0,5.5,7.6,Neutro
80,50080,67,65 anos ou mais,Centro-Oeste,33,25 a 48 meses,302.89,2,22.97,5,10,0,0,0.0,58.88,0,3,1,1,2,1,1,0,7.7,7.5,Neutro
81,50081,30,25 a 34 anos,Norte,38,25 a 48 meses,477.33,3,31.61,8,3,2,1,0.6666666666666666,40.72,0,2,0,0,4,2,1,0,5.6,4.8,Detrator
82,50082,36,35 a 44 anos,Norte,53,49 a 72 meses,617.4,1,24.0,11,12,0,0,0.0,47.57,0,3,2,1,2,3,1,0,6.8,7.0,Neutro
83,50083,35,35 a 44 anos,Norte,24,13 a 24 meses,519.41,6,6.98,9,5,2,1,0.4,9.73,0,3,0,0,4,5,1,0,6.1,5.1,Detrator
84,50084,19,Até 24 anos,Sudeste,67,49 a 72 meses,430.96,2,6.8,2,10,3,1,0.3,16.33,0,1,1,1,4,3,1,0,3.7,3.6,Detrator
85,50085,69,65 anos ou mais,Centro-Oeste,88,Mais de 72 meses,90.76,6,4.81,6,6,2,1,0.3333333333333333,47.02,0,2,1,1,11,3,1,0,0.8,4.8,Detrator
86,50086,62,55 a 64 anos,Sudeste,30,25 a 48 meses,98.29,4,31.32,3,9,2,1,0.2222222222222222,39.85,0,3,1,1,7,3,1,0,2.1,6.0,Detrator
87,50087,59,55 a 64 anos,Centro-Oeste,72,49 a 72 meses,340.91,5,32.07,9,10,3,1,0.3,33.67,0,2,2,1,7,5,1,0,0.0,2.9,Detrator
88,50088,66,65 anos ou mais,Nordeste,82,Mais de 72 meses,535.69,3,33.85,5,12,3,1,0.25,41.93,0,1,1,1,5,4,1,0,2.3,1.9,Detrator
89,50089,45,45 a 54 anos,Nordeste,5,Até 12 meses,470.48,2,3.25,4,12,1,1,0.08333333333333333,46.78,0,3,0,0,10,2,1,0,2.8,4.5,Detrator
90,50090,67,65 anos ou mais,Sudeste,51,49 a 72 meses,739.57,4,30.17,11,2,2,1,1.0,10.35,0,2,2,1,1,5,1,0,4.7,4.9,Detrator
91,50091,40,35 a 44 anos,Centro-Oeste,53,49 a 72 meses,147.47,4,92.68,2,14,1,1,0.07142857142857142,32.52,0,3,2,1,10,4,1,0,1.4,5.0,Detrator
92,50092,21,Até 24 anos,Nordeste,47,25 a 48 meses,143.82,3,42.0,9,8,3,1,0.375,51.74,0,1,2,1,3,5,1,0,3.1,4.5,Detrator
93,50093,21,Até 24 anos,Centro-Oeste,74,Mais de 72 meses,453.7,3,15.62,3,5,3,1,0.6,40.45,0,3,3,1,11,6,1,0,0.0,2.7,Detrator
94,50094,29,25 a 34 anos,Nordeste,70,49 a 72 meses,530.15,5,125.03,10,8,2,1,0.25,31.19,0,2,0,0,10,2,1,0,1.3,4.6,Detrator
95,50095,39,35 a 44 anos,Centro-Oeste,112,Mais de 72 meses,531.95,1,51.91,7,13,3,1,0.23076923076923078,51.81,0,2,1,1,8,3,1,0,1.5,4.1,Detrator
96,50096,43,35 a 44 anos,Sudeste,73,Mais de 72 meses,352.17,6,22.73,6,10,3,1,0.3,25.93,0,1,3,1,8,5,1,0,0.0,1.1,Detrator
97,50097,57,55 a 64 anos,Sudeste,6,Até 12 meses,473.08,3,5.55,9,11,1,1,0.09090909090909091,51.0,0,3,1,1,4,4,1,0,4.9,6.4,Detrator
98,50098,59,55 a 64 anos,Sul,94,Mais de 72 meses,411.69,4,67.98,4,4,4,1,1.0,27.55,0,2,2,1,8,5,1,0,0.0,1.6,Detrator
99,50099,52,45 a 54 anos,Nordeste,45,25 a 48 meses,197.76,1,7.91,7,14,2,1,0.14285714285714285,44.67,0,3,1,1,5,3,1,0,3.7,6.3,Detrator
100,50100,21,Até 24 anos,Norte,36,25 a 48 meses,267.36,3,7.79,4,3,1,1,0.3333333333333333,32.04,0,2,1,1,0,4,1,1,7.3,10.0,Promotor
101,50101,29,25 a 34 anos,Sul,15,13 a 24 meses,182.19,2,18.18,3,11,1,1,0.09090909090909091,45.48,0,1,1,1,9,3,1,0,1.2,1.7,Detrator
102,50102,21,Até 24 anos,Norte,74,Mais de 72 meses,125.96,5,7.14,1,12,1,1,0.08333333333333333,38.05,0,2,1,1,9,4,1,0,1.7,3.1,Detrator
103,50103,69,65 anos ou mais,Nordeste,81,Mais de 72 meses,70.41,6,18.87,5,4,2,1,0.5,49.5,0,2,0,0,10,2,1,1,1.8,9.4,Promotor
104,50104,48,45 a 54 anos,Sudeste,45,25 a 48 meses,289.31,5,2.66,3,14,1,1,0.07142857142857142,41.1,0,3,0,0,9,4,1,0,1.7,5.1,Detrator
105,50105,24,Até 24 anos,Norte,7,Até 12 meses,1034.61,4,74.44,8,7,1,1,0.14285714285714285,40.22,0,3,1,1,2,5,1,0,6.5,5.8,Detrator
106,50106,27,25 a 34 anos,Sudeste,20,13 a 24 meses,567.28,4,13.3,2,9,4,1,0.4444444444444444,42.81,0,2,1,1,0,3,1,0,4.7,4.0,Detrator
107,50107,41,35 a 44 anos,Sul,85,Mais de 72 meses,350.94,6,0.36,9,9,1,1,0.1111111111111111,46.38,0,1,3,1,10,5,1,0,0.8,3.7,Detrator
108,50108,32,25 a 34 anos,Sul,73,Mais de 72 meses,676.14,1,68.44,4,11,2,1,0.18181818181818182,43.14,0,1,1,1,8,2,1,0,1.6,6.5,Detrator
109,50109,56,55 a 64 anos,Sudeste,74,Mais de 72 meses,677.47,3,46.8,11,10,1,1,0.1,43.38,0,2,1,1,2,3,1,0,6.8,4.1,Detrator
110,50110,37,35 a 44 anos,Centro-Oeste,67,49 a 72 meses,1182.28,4,31.07,3,10,2,1,0.2,41.96,0,2,2,1,4,6,1,0,3.1,4.1,Detrator
111,50111,24,Até 24 anos,Nordeste,28,25 a 48 meses,1328.4,1,6.51,5,7,0,0,0.0,38.42,0,2,0,0,6,2,1,1,6.3,9.0,Promotor
112,50112,30,25 a 34 anos,Centro-Oeste,45,25 a 48 meses,292.7,3,13.71,3,5,4,1,0.8,34.3,0,1,2,1,10,4,1,0,0.0,0.3,Detrator
113,50113,45,45 a 54 anos,Sul,74,Mais de 72 meses,239.69,6,59.64,9,12,3,1,0.25,33.4,0,3,1,1,2,3,1,0,4.5,2.7,Detrator
115,50115,35,35 a 44 anos,Centro-Oeste,71,49 a 72 meses,96.54,3,28.25,2,2,2,1,1.0,56.28,0,1,2,1,3,5,1,0,4.5,2.4,Detrator
116,50116,64,55 a 64 anos,Norte,28,25 a 48 meses,359.49,2,11.01,11,9,0,0,0.0,26.18,0,2,2,1,9,3,1,0,2.6,3.5,Detrator
118,50118,53,45 a 54 anos,Sudeste,5,Até 12 meses,242.57,5,21.93,8,3,0,0,0.0,22.11,0,2,3,1,9,5,1,0,0.9,1.1,Detrator
119,50119,53,45 a 54 anos,Norte,103,Mais de 72 meses,139.18,1,21.63,5,6,4,1,0.6666666666666666,19.4,0,2,2,1,3,5,1,0,3.6,0.8,Detrator
120,50120,19,Até 24 anos,Sudeste,85,Mais de 72 meses,428.1,4,77.12,5,6,3,1,0.5,47.3,0,3,2,1,9,6,1,0,0.0,3.1,Detrator
121,50121,65,65 anos ou mais,Norte,60,49 a 72 meses,212.08,1,18.06,1,14,2,1,0.14285714285714285,30.82,0,3,1,1,7,3,1,0,2.9,2.2,Detrator
122,50122,63,55 a 64 anos,Sul,111,Mais de 72 meses,686.74,5,0.49,3,3,1,1,0.3333333333333333,42.24,0,3,0,0,3,2,1,1,6.2,8.8,Neutro
123,50123,34,25 a 34 anos,Nordeste,69,49 a 72 meses,195.24,5,28.31,1,5,4,1,0.8,30.12,0,3,0,0,2,3,1,0,3.9,1.8,Detrator
124,50124,23,Até 24 anos,Norte,102,Mais de 72 meses,693.16,3,26.12,5,10,1,1,0.1,45.57,0,3,1,1,0,3,1,1,8.3,9.2,Promotor
125,50125,58,55 a 64 anos,Sul,53,49 a 72 meses,549.41,2,35.84,11,10,2,1,0.2,33.16,0,2,0,0,8,1,1,0,2.0,7.7,Neutro
126,50126,63,55 a 64 anos,Sul,107,Mais de 72 meses,126.41,4,0.23,2,11,2,1,0.18181818181818182,15.17,0,3,3,1,1,5,1,0,3.0,2.2,Detrator
127,50127,40,35 a 44 anos,Nordeste,34,25 a 48 meses,326.11,4,3.28,4,4,2,1,0.5,58.28,0,2,1,1,2,2,1,0,5.2,6.7,Detrator
128,50128,64,55 a 64 anos,Nordeste,83,Mais de 72 meses,648.2,3,23.63,6,2,2,1,1.0,32.87,0,1,3,1,2,4,1,0,4.2,6.0,Detrator
129,50129,33,25 a 34 anos,Norte,57,49 a 72 meses,759.72,4,0.69,8,10,2,1,0.2,32.56,0,3,3,1,3,5,1,0,4.0,4.5,Detrator
130,50130,58,55 a 64 anos,Sul,108,Mais de 72 meses,416.01,3,14.85,6,14,1,1,0.07142857142857142,30.09,0,1,0,0,7,1,1,0,3.4,7.2,Neutro
131,50131,43,35 a 44 anos,Sul,27,25 a 48 meses,234.65,6,33.37,2,14,4,1,0.2857142857142857,35.25,0,2,1,1,11,3,1,0,0.0,2.8,Detrator
132,50132,63,55 a 64 anos,Nordeste,29,25 a 48 meses,640.32,1,3.91,5,9,3,1,0.3333333333333333,46.03,0,1,0,0,0,5,1,0,5.5,3.7,Detrator
133,50133,67,65 anos ou mais,Sudeste,57,49 a 72 meses,241.88,5,15.57,11,2,1,1,0.5,37.43,0,3,2,1,9,5,1,0,1.2,1.6,Detrator
134,50134,18,Até 24 anos,Nordeste,90,Mais de 72 meses,706.8,5,21.35,8,4,2,1,0.5,29.36,0,2,0,0,4,2,1,0,5.1,5.6,Detrator
135,50135,53,45 a 54 anos,Sudeste,34,25 a 48 meses,233.13,1,2.43,6,11,5,1,0.45454545454545453,30.7,0,3,1,1,8,7,1,0,0.1,2.1,Detrator
136,50136,47,45 a 54 anos,Sudeste,26,25 a 48 meses,637.17,1,55.2,11,12,2,1,0.16666666666666666,55.77,0,2,3,1,11,7,1,0,0.0,5.6,Detrator
137,50137,19,Até 24 anos,Centro-Oeste,5,Até 12 meses,640.01,5,69.97,3,7,3,1,0.42857142857142855,25.18,0,1,1,1,7,5,1,0,0.4,4.4,Detrator
138,50138,37,35 a 44 anos,Sudeste,62,49 a 72 meses,40.76,2,23.68,2,5,1,1,0.2,17.34,0,2,1,1,2,3,1,0,6.3,5.8,Detrator
139,50139,22,Até 24 anos,Nordeste,92,Mais de 72 meses,155.32,4,4.24,11,13,2,1,0.15384615384615385,49.59,0,2,1,1,8,4,1,0,1.7,4.3,Detrator
140,50140,48,45 a 54 anos,Norte,56,49 a 72 meses,150.15,5,36.37,7,6,4,1,0.6666666666666666,44.72,0,2,3,1,9,6,1,0,0.0,2.6,Detrator
141,50141,25,25 a 34 anos,Sul,56,49 a 72 meses,242.39,6,11.38,10,11,1,1,0.09090909090909091,30.44,0,2,0,0,0,3,1,0,8.3,7.3,Neutro
142,50142,47,45 a 54 anos,Nordeste,70,49 a 72 meses,614.67,6,18.27,6,9,0,0,0.0,23.61,0,2,1,1,6,5,1,0,3.7,5.9,Detrator
143,50143,56,55 a 64 anos,Norte,103,Mais de 72 meses,467.14,4,23.81,5,12,2,1,0.16666666666666666,38.45,0,3,1,1,9,5,1,0,0.7,5.9,Detrator
144,50144,19,Até 24 anos,Sudeste,16,13 a 24 meses,1054.32,6,6.6,9,2,2,1,1.0,32.39,0,3,5,1,2,7,1,0,2.5,4.1,Detrator
145,50145,30,25 a 34 anos,Centro-Oeste,74,Mais de 72 meses,718.63,4,19.52,5,4,4,1,1.0,40.7,0,1,5,1,1,7,1,0,0.3,0.4,Detrator
146,50146,21,Até 24 anos,Nordeste,75,Mais de 72 meses,72.52,5,34.44,4,9,2,1,0.2222222222222222,55.51,0,2,2,1,6,4,1,0,3.1,4.5,Detrator
147,50147,62,55 a 64 anos,Sul,30,25 a 48 meses,379.53,4,33.46,5,11,4,1,0.36363636363636365,22.43,0,3,4,1,3,8,1,0,0.0,3.1,Detrator
148,50148,69,65 anos ou mais,Sudeste,92,Mais de 72 meses,288.89,6,39.13,9,10,0,0,0.0,48.12,0,3,3,1,9,5,1,0,2.4,7.5,Neutro
149,50149,25,25 a 34 anos,Centro-Oeste,82,Mais de 72 meses,872.53,6,74.23,2,14,2,1,0.14285714285714285,25.57,0,2,2,1,3,4,1,0,3.7,1.0,Detrator
150,50150,56,55 a 64 anos,Centro-Oeste,83,Mais de 72 meses,515.78,1,70.23,6,2,1,1,0.5,69.43,0,1,2,1,1,4,1,1,6.2,10.0,Promotor
151,50151,42,35 a 44 anos,Sudeste,18,13 a 24 meses,324.46,6,4.05,8,7,1,1,0.14285714285714285,45.88,0,2,2,1,3,4,1,0,4.8,5.2,Detrator
152,50152,24,Até 24 anos,Nordeste,99,Mais de 72 meses,351.61,4,86.68,10,6,3,1,0.5,40.07,0,1,2,1,5,5,1,0,2.0,5.3,Detrator
154,50154,46,45 a 54 anos,Sudeste,22,13 a 24 meses,337.65,1,21.17,3,5,3,1,0.6,21.26,0,3,1,1,1,3,1,0,5.4,6.8,Detrator
155,50155,62,55 a 64 anos,Nordeste,54,49 a 72 meses,672.01,6,21.47,1,4,1,1,0.25,27.38,0,2,0,0,1,2,1,1,8.0,9.8,Promotor
156,50156,38,35 a 44 anos,Norte,48,25 a 48 meses,475.43,2,45.52,2,6,2,1,0.3333333333333333,32.2,0,2,0,0,4,2,1,0,5.4,5.8,Detrator
157,50157,54,45 a 54 anos,Sudeste,34,25 a 48 meses,348.1,1,26.64,5,4,4,1,1.0,31.63,0,2,2,1,10,6,1,0,0.0,1.6,Detrator
158,50158,66,65 anos ou mais,Nordeste,21,13 a 24 meses,796.83,4,9.4,5,4,3,1,0.75,43.38,0,3,2,1,6,7,1,0,1.4,1.8,Detrator
159,50159,50,45 a 54 anos,Sudeste,103,Mais de 72 meses,223.1,6,12.28,10,14,1,1,0.07142857142857142,54.77,0,2,4,1,10,7,1,0,0.0,1.6,Detrator
160,50160,58,55 a 64 anos,Sudeste,47,25 a 48 meses,221.05,2,17.25,3,5,2,1,0.4,48.59,0,2,1,1,5,4,1,0,3.6,6.9,Detrator
161,50161,42,35 a 44 anos,Sul,43,25 a 48 meses,234.72,6,29.23,6,8,4,1,0.5,60.15,0,3,1,1,3,5,1,0,3.2,1.8,Detrator
162,50162,63,55 a 64 anos,Sul,39,25 a 48 meses,421.33,4,51.01,6,12,1,1,0.08333333333333333,46.14,0,3,2,1,11,4,1,0,0.2,4.9,Detrator
